time,0,1,2,3,4,5,6,6.75,7.5,8.25,9,9.75,10.5,11.25,12,12.75,13.5,14.25,15,15.75,16.5,17.25,18,18.75,19.5
right_hip_yaw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
left_hip_yaw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
right_hip_roll,0.2,0.2,0.2,-0.4,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.05,-0.05
left_hip_roll,0,0,0,-0.1,0.7,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.05,-0.05
right_hip_pitch,0,1.5,1.8,1.8,1.8,0,0,0,0,0,0,1,1.5,1.5,1.5,1.8,1.8,1.8,1.8,1.8,1.5,1.2,0.9,0.75,0.6
left_hip_pitch,0,1.5,-0.5,-0.5,1,1,0,0,0,0,0,1,1.5,1.5,1.5,1.8,1.8,1.8,1.8,1.8,1.5,1.2,0.9,0.75,0.6
right_knee,0,-1.8,-1.8,-1.8,-1.8,-1.8,0,0,0,0,0,-1,-1.3,-1.3,-1.3,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.5,-1.2,-1.3,-1.4
left_knee,0,-1.2,-1.2,-0.4,-0.4,-0.4,0,0,0,0,0,-1,-1.3,-1.3,-1.3,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.5,-1.2,-1.3,-1.4
right_ankle_pitch,0,0.9,0.9,0.9,0.9,0.9,0,0,0,0,1.1,1.3,1.3,1.3,1.3,1.3,1.3,1.3,0.9,0.6,0.6,0.5,0.46,0.6,0.8
left_ankle_pitch,0,0.9,0.9,1.3,1.3,1.3,0,0,0,0,1.1,1.3,1.3,1.3,1.3,1.3,1.3,1.3,0.9,0.6,0.6,0.5,0.46,0.6,0.8
right_ankle_roll,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0
left_ankle_roll,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0
right_shoulder_pitch,0,1,-2,0,2,3,3,-1.5,0,1.5,1.5,1.5,1.5,1,0.7,0.2,-0.5,0,0.3,0.8,0.7,0.6,0.5,0.6,0.75
left_shoulder_pitch,0,1,1,3,3,3,3,-1.5,0,1.5,1.5,1.5,1.5,1,0.7,0.2,-0.5,0,0.3,0.8,0.7,0.6,0.5,0.6,0.75
right_elbow,0,2,2,2,2,2,0,2.5,3,1.5,2,2,2,2.3,2.5,2.8,2.6,2.6,1.3,0,0,0,0,0,0
left_elbow,0,2,2,2,2,2,0,2.5,3,1.5,2,2,2,2.3,2.5,2.8,2.6,2.6,1.3,0,0,0,0,0,0
