time,0.5,1.5,2,2.5,5,8,8.1,8.3
left_leg_motor_0,0,0,0,0,0,0,0,0
left_leg_motor_1,0.1,0.1,-0.15,-0.15,-0.25,-0.25,-0.25,-0.25
left_leg_motor_2,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
left_leg_motor_3,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4
left_leg_motor_4,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
left_leg_motor_5,-0.1,-0.1,0.15,0.15,0.25,0.25,0.25,0.25
left_arm_motor_0,0,0,0,0,-1,-1,1,1
left_arm_motor_1,2,2,2,2,2,2,2,2
right_leg_motor_0,0,0,0,0,0,0,0,0
right_leg_motor_1,0.1,0.1,0.2,0.2,0.4,0.4,0.4,0.4
right_leg_motor_2,0.25,0.25,0.25,0.25,0.3,0.3,1.5,1
right_leg_motor_3,-0.4,-0.4,-0.4,-0.4,-1,-1,-1,-1
right_leg_motor_4,0.2,0.2,0.2,0.2,0.5,0.5,0,0
right_leg_motor_5,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.2
right_arm_motor_0,0,0,0,0,1,1,-1,-1
right_arm_motor_1,2,2,2,2,2,2,2,2
comment,stance,x,lean to the side,x,lift leg up,x,kick,step to balance
