time,0,0.75,1.5,2.25,3,3.75,4.5,5.25,6,6.75
right_leg_motor_0,0,0,0,0,0,0,0,0,0,0
left_leg_motor_0,0,0,0,0,0,0,0,0,0,0
right_leg_motor_1,0,0,0,0,0,0,0,0,0,0
left_leg_motor_1,0,0,0,0,0,0,0,0,0,0
right_leg_motor_2,0,0,0,1,1.5,1.8,1.8,1.8,1.7,0.564
left_leg_motor_2,0,0,0,1,1.5,1.8,1.8,1.8,1.7,0.564
right_leg_motor_3,0,0,0,-1,-1.3,-1.8,-2.2,-2.6,-2.6, -1.176
left_leg_motor_3,0,0,0,-1,-1.3,-1.8,-2.2,-2.6,-2.6, -1.176
right_leg_motor_4,0,0,1.1,1.3,1.3,1.3,1.3,1.2,1.2,0.613
left_leg_motor_4,0,0,1.1,1.3,1.3,1.3,1.3,1.2,1.2,0.613
right_leg_motor_5,0,0,0,0,0,0,0,0,0,0
left_leg_motor_5,0,0,0,0,0,0,0,0,0,0
right_arm_motor_0,0,0,1.5,1.5,2,1.3,1.8,1.0,0.9,0
left_arm_motor_0,0,0,1.5,1.5,2,1.3,1.8,1.0,0.9,0
right_arm_motor_1,0,3.14,3.14,2,2,1.3,0,0,0,0
left_arm_motor_1,0,3.14,3.14,2,2,1.3,0,0,0,0
head_motor_0,0,0,0,0,0,0,0,0,0,0
head_motor_1,0,0,0,0,0,0,0,0,0,0
