time,1,1.2,1.45,1.5,1.7,1.9,2.1,2.3,2.5
left_hip_yaw,0,0,0,0,0,0,0,0,0
left_hip_roll,0.1,0.1,0.15,0.15,0.15,0.15,0.15,0.15,0.1
left_hip_pitch,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
left_knee,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4
left_ankle_pitch,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
left_ankle_roll,-0.1,-0.1,0.15,0.15,0.25,0.25,0.4,0.4,-0.1
left_shoulder_pitch,0,0,0,0,-1,-1,1,1,0
left_shoulder_roll,2,2,2,2,2,2,2,2,2
right_hip_yaw,0,0,0,0,0,0,0,0,0
right_hip_roll,0.1,0.1,0.2,0.2,0.4,0.4,0.4,0.4,0.1
right_hip_pitch,0.25,0.25,0.25,0.25,0.3,0.3,1,0.5,0.25
right_knee,-0.4,-0.4,-0.4,-0.4,-0.6,-0.8,-0.8,-0.8,-0.4
right_ankle_pitch,0.2,0.2,0.2,0.2,0.5,0.5,0,0,0.2
right_ankle_roll,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.2,-0.1
right_shoulder_pitch,0,0,0,0,1,1,-1,-1,0
right_shoulder_roll,2,2,2,2,2,2,2,2,2
comment,stance,x,lean to the side,x,lift leg up,x,kick,step to balance,stance
head_yaw,0,0,0,0,0,0,0,0,0
head_pitch,0,0,0,0,0,0,0,0,0
