time,2,5,9,7,7.3,8
left_hip_yaw,0,0,0,0,0,0
left_hip_roll,-0.05,-0.3,-0.5,-0.2,-0.2,-0.2
left_hip_pitch,0.25,0.25,0.25,0.25,0.25,0.25
left_knee,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4
left_ankle_pitch,0.2,0.2,0.2,0.2,0.2,0.2
left_ankle_roll,0.05,0.2,0.4,0.2,0.2,0.2
right_hip_yaw,0,0,0,0,0,0
right_hip_roll,-0.05,-0.3,-1.5,-0.3,-0.3,-0.3
right_hip_pitch,0.25,0.4,0.7,-0.3,1.5,0.6
right_knee,-0.4,-0.5,-1.4,-2,-0.5,-1.4
right_ankle_pitch,0.2,0.3,0.7,0.9,0.5,0.8
right_ankle_roll,0.05,0.3,0.3,0.2,0.2,0.2
right_shoulder_pitch,0,0,0,0,0,0
right_shoulder_roll,2,2,2,2,2,2
left_shoulder_pitch,0,0,0,0,0,0
left_shoulder_roll,2,2,2,2,2,2
comment,initial pose,lean,Lean more and lift leg,wind back,kick,stand position
