time,0,1,1.5,2.2,2.21,2.5,2.8,4,5,6,7,8,9
right_leg_motor_0,0,0,0,0,0,0,0,0,0,0,0,0,0
left_leg_motor_0,0,0,0,0,0,0,0,0,0,0,0,0,0
right_leg_motor_1,0,0,0,0,0,0,0,0,0,0,0,0,0
left_leg_motor_1,0,0,0,0,0,0,0,0,0,0,0,0,0
right_leg_motor_2,0,-1.5,-1.5,-1.5,-1.5,-1.5,0,0,0,0,0,0,0
left_leg_motor_2,0,-1.5,-1.5,-1.5,-1.5,-1.5,0,0,0,0,0,0,0
right_leg_motor_3,0,-2.2,-2.2,-2.2,-2.2,-2.2,0,0,0,0,0,0,0
left_leg_motor_3,0,-2.2,-2.2,-2.2,-2.2,-2.2,0,0,0,0,0,0,0
right_leg_motor_4,0,1.6,1.6,1.6,1.6,1.6,1.6,1.6,0,0,0,0,0
left_leg_motor_4,0,1.6,1.6,1.6,1.6,1.6,1.6,1.6,0,0,0,0,0
right_leg_motor_5,0,0,0,0,0,0,0,0,0,0,0,0,0
left_leg_motor_5,0,0,0,0,0,0,0,0,0,0,0,0,0
right_arm_motor_0,0,-2.3,-2.3,-2.3,-2.3,-2.3,-2.3,-2.3,-2.3,0,0,0,0
left_arm_motor_0,0,-2.3,-2.3,-2.3,-2.3,-2.3,-2.3,-2.3,-2.3,0,0,0,0
right_arm_motor_1,0,0,0,0,0,0,0,0,0,0,0,0,0
left_arm_motor_1,0,0,0,0,0,0,0,0,0,0,0,0,0
head_motor_0,0,0,0,0,0,0,0,0,0,0,0,0,0
head_motor_1,0,0,0,0,0,0,0,0,0,0,0,0,0
left_arm_motor_2,0,2,2,2,0,0,0,0,0,0,0,0,0
right_arm_motor_2,0,2,2,2,0,0,0,0,0,0,0,0,0
