time,0,0.2,2,2.1,3,3.5,4.5,5.5,6.5,7.5,11.5,12,12.5,13,13.5,14,15.5,16
head_yaw,0,-2,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3
head_pitch,0,1.2,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
left_shoulder_pitch,0,0,-1.8,-3,-3,-3,0,0,3.2,3.2,2,1.3,1.8,1,0.9,0.9,0,0
left_shoulder_roll,0,0,0.3,0.3,0.3,0.3,0.3,1.6,1.6,0,0,0,0,0,0,0,0,0
left_elbow,0,0,1.3,0,0,0,0,0,0,0,2,1.3,0,0,0,0,0,0
left_hip_yaw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
left_hip_roll,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
left_hip_pitch,0,0,0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,2.3,2.3,2.3,1,1,1,1
left_knee,0,0,-2.5,0,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.3,-1.8,-2.1,-3,-3,-3,-1.7,-1.7
left_ankle_pitch,0,0,1,0,0.5,0.5,0.5,0.5,0.5,0.5,1.5,1.5,1.5,1.5,1.5,2,0.9,0.9
left_ankle_roll,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
right_shoulder_pitch,0,0,-1.8,-3,-3,-3,0,0,3.2,3.2,2,1.3,1.8,1,0.9,0.9,0,0
right_shoulder_roll,0,0,0.3,0.3,0.3,0.3,0.3,1.6,1.6,0,0,0,0,0,0,0,0,0
right_elbow,0,0,1.3,0,0,0,0,0,0,0,2,1.3,0,0,0,0,0,0
right_hip_yaw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
right_hip_roll,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
right_hip_pitch,0,0,0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,2.3,2.3,2.3,1,1,1,1
right_knee,0,0,-2.5,0,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.3,-1.8,-2.1,-3,-3,-3,-1.7,-1.7
right_ankle_pitch,0,0,1,0,0.5,0.5,0.5,0.5,0.5,0.5,1.5,1.5,1.5,1.5,1.5,2,0.9,0.9
right_ankle_roll,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
