time,2,5,9,7,7.3,8
left_leg_motor_0,0,0,0,0,0,0
left_leg_motor_1,-0.05,-0.3,-0.5,-0.2,-0.2,-0.2
left_leg_motor_2,0.25,0.25,0.25,0.25,0.25,0.25
left_leg_motor_3,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4
left_leg_motor_4,0.2,0.2,0.2,0.2,0.2,0.2
left_leg_motor_5,0.05,0.2,0.4,0.2,0.2,0.2
right_leg_motor_0,0,0,0,0,0,0
right_leg_motor_1,-0.05,-0.3,-1.5,-0.3,-0.3,-0.3
right_leg_motor_2,0.25,0.4,0.7,-0.3,1.5,0.6
right_leg_motor_3,-0.4,-0.5,-1.4,-2,-0.5,-1.4
right_leg_motor_4,0.2,0.3,0.7,0.9,0.5,0.8
right_leg_motor_5,0.05,0.3,0.3,0.2,0.2,0.2
right_arm_motor_0,0,0,0,0,0,0
right_arm_motor_1,2,2,2,2,2,2
left_arm_motor_0,0,0,0,0,0,0
left_arm_motor_1,2,2,2,2,2,2
comment,initial pose,lean,Lean more and lift leg,wind back,kick,stand position
